PERIODO;FACULTAD;CARRERA;ESTUDIANTE;COD_MATERIA;MATERIA;COD_GRUPO;GRUPO/PARALELO;ESTADO;PROMEDIO;ASISTENCIA;NO. VEZ;NIVEL
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 1;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 2;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;2;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 3;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,07;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 4;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,48;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 5;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;6,87;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 6;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,15;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 7;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,97;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 8;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,75;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 9;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 10;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,60;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 11;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,98;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 12;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,01;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 13;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,56;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 14;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 15;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,90;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 16;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,79;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 17;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,24;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 18;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,32;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 19;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,98;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 20;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 21;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,98;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 22;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,25;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 23;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,66;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 24;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,98;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 25;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,07;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 26;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;4,13;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 27;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,24;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 28;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,11;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 29;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,31;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 30;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,16;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 31;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 32;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,88;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 33;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,64;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 34;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 35;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,77;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 36;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,57;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 37;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,47;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 38;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;1,65;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 39;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,24;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 40;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,14;100;1;1
